Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Côte d'Ivoire,27 000 ,22 000 , 33 000,25 000 ,20 000 , 31 000,23 000 ,18 000 , 28 000,21 000 ,16 000 , 26 000,20 000 ,16 000 , 24 000,19 000 ,14 000 , 23 000,17 000 ,13 000 , 22 000,16 000 ,12 000 , 21 000,14 000 ,10 000 , 20 000,12 000 ,8500 , 17 000,-54
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Democratic Republic of the Congo,37 000 ,29 000 , 45 000,36 000 ,28 000 , 44 000,35 000 ,27 000 , 42 000,32 000 ,25 000 , 40 000,31 000 ,23 000 , 40 000,29 000 ,21 000 , 38 000,28 000 ,20 000 , 37 000,27 000 ,18 000 , 37 000,25 000 ,17 000 , 36 000,23 000 ,15 000 , 34 000,-39
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Djibouti,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,<500 ,<200 , <500,<500 ,<200 , <500,<500 ,<200 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,-63
Dominican Republic,3300 ,2500 , 4300,3100 ,2400 , 4000,3000 ,2300 , 4000,3000 ,2200 , 4000,2900 ,2200 , 3900,2900 ,2100 , 3900,2900 ,2000 , 3800,2900 ,1900 , 3800,2800 ,1800 , 3800,2800 ,1700 , 3800,-14
Ecuador,2700 ,1700 , 5200,2700 ,1700 , 5000,2600 ,1700 , 4900,2700 ,1700 , 5000,2700 ,1700 , 5000,2700 ,1700 , 5000,2600 ,1700 , 5000,2600 ,1600 , 5000,2500 ,1500 , 4900,2400 ,1400 , 4800,-11
Egypt,<1000 ,<1000 , 1400,1200 ,<1000 , 1600,1400 ,1000 , 2000,1700 ,1200 , 2300,2100 ,1400 , 2800,2500 ,1800 , 3300,3000 ,2100 , 4000,3600 ,2500 , 4800,4200 ,3000 , 5800,5000 ,3500 , 7000,421
El Salvador,1700 ,1500 , 2100,1600 ,1300 , 2000,1500 ,1200 , 1800,1400 ,1100 , 1700,1200 ,1000 , 1600,1100 ,<1000 , 1500,1100 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1400,<1000 ,<1000 , 1300,-50
Equatorial Guinea,3800 ,3000 , 4700,4100 ,3200 , 5400,4400 ,3300 , 5900,4400 ,3000 , 6100,4300 ,2800 , 6300,4600 ,3000 , 6800,4800 ,3000 , 7500,5000 ,2900 , 7900,5000 ,2800 , 8300,5200 ,2900 , 9100,37
Eritrea,<1000 ,<1000 , 1200,<1000 ,<500 , 1100,<1000 ,<500 , <1000,<1000 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<200 , <1000,<500 ,<200 , <1000,-54
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Eswatini,13 000 ,12 000 , 14 000,13 000 ,12 000 , 14 000,13 000 ,12 000 , 14 000,12 000 ,11 000 , 13 000,12 000 ,11 000 , 13 000,10 000 ,8900 , 11 000,8500 ,7300 , 9500,7000 ,5900 , 8100,5300 ,4200 , 6400,4500 ,3500 , 5600,-66
Ethiopia,28 000 ,15 000 , 48 000,25 000 ,14 000 , 44 000,23 000 ,12 000 , 40 000,20 000 ,11 000 , 35 000,19 000 ,10 000 , 34 000,18 000 ,9700 , 31 000,17 000 ,9400 , 31 000,17 000 ,9000 , 29 000,15 000 ,8200 , 26 000,15 000 ,8100 , 26 000,-46
Fiji,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <200,<100 ,<100 , <500,<100 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,97
Finland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
France,5500 ,4500 , 6600,5800 ,4800 , 7000,5800 ,4700 , 7000,6000 ,4900 , 7100,6600 ,5400 , 7900,6500 ,5300 , 7700,6400 ,5200 , 7700,... ,... , ...,... ,... , ...,... ,... , ...,...
Gabon,2600 ,1800 , 3400,2600 ,1800 , 3400,2500 ,1700 , 3400,2400 ,1500 , 3400,2200 ,1400 , 3300,2100 ,1200 , 3200,1900 ,1000 , 3000,1800 ,<1000 , 2900,1600 ,<1000 , 2700,1500 ,<1000 , 2700,-42
Gambia,2000 ,1500 , 2700,2000 ,1500 , 2700,2000 ,1500 , 2700,2100 ,1500 , 2800,2200 ,1600 , 3000,2200 ,1600 , 3000,2300 ,1600 , 3200,2300 ,1600 , 3300,2300 ,1500 , 3500,2400 ,1600 , 3600,19
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Germany,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Ghana,23 000 ,16 000 , 31 000,23 000 ,15 000 , 31 000,22 000 ,15 000 , 31 000,22 000 ,14 000 , 32 000,22 000 ,13 000 , 32 000,21 000 ,13 000 , 32 000,20 000 ,12 000 , 33 000,20 000 ,11 000 , 34 000,20 000 ,10 000 , 36 000,20 000 ,9900 , 37 000,-13
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Guatemala,1900 ,1300 , 2900,1800 ,1200 , 2600,1700 ,1100 , 2500,1500 ,<1000 , 2300,1400 ,<1000 , 2000,1300 ,<1000 , 1900,1300 ,<1000 , 1900,1300 ,<1000 , 1800,1200 ,<1000 , 1800,1100 ,<1000 , 1700,-41
Guinea,7200 ,5900 , 8900,7000 ,5500 , 8600,6700 ,5300 , 8400,5700 ,4300 , 7500,5800 ,4400 , 7600,6200 ,4800 , 8000,5900 ,4500 , 7800,5900 ,4400 , 7900,5400 ,3900 , 7400,4800 ,3500 , 6700,-33
